NM_205658	ENSDARG00000086138	emc4	Zv9_NA940	-
NM_001003883	ENSDARG00000007278	ect2	11	-
NM_198876	ENSDARG00000018971	b3gnt5a	11	+
NM_200496	ENSDARG00000043692	vstm2l	Zv9_scaffold3522	+
NM_001020587	ENSDARG00000091324		Zv9_NA941	+
NM_200608	ENSDARG00000029446	bcmo1b	Zv9_scaffold3485	+
NM_001020574	ENSDARG00000057075	lamtor3	13	-
NM_131798	ENSDARG00000034369	bcmo1a	Zv9_scaffold3485	+
NM_001083564	ENSDARG00000077728	supv3l1	13	-
NM_001003525	ENSDARG00000038950	zgc:100870	Zv9_scaffold3485	+
NM_001100149	ENSDARG00000088890	usp47	Zv9_scaffold3485	+
NM_001083573	ENSDARG00000063100	psmd14	11	-
NM_001159283	ENSDARG00000077630	dkk3b	Zv9_scaffold3485	-
NM_001080079	ENSDARG00000089016	mapkapk3	11	-
NM_001003509	ENSDARG00000004806	grwd1	16	+
NM_213085	ENSDARG00000020529	hacl1	16	+
NM_212700	ENSDARG00000007347	degs1	13	+
NM_001007420	ENSDARG00000036009	zgc:101549	25	+
NM_001013342	ENSDARG00000038232	zgc:112964	16	+
NM_181735	ENSDARG00000019659	foxi1	16	+
NM_001128805	ENSDARG00000068735	LOC799208	Zv9_NA735	+
NM_001007422	ENSDARG00000074035	zgc:100824	11	-
NM_199634	ENSDARG00000040871	gas8	11	+
NM_001089511	ENSDARG00000029321	zgc:163073	12	+
NM_173284	ENSDARG00000005772	tsr2	8	-
NM_001045452	ENSDARG00000068644	urah	11	-
NM_001004666	ENSDARG00000022218	uck1	21	-
NM_001114436	ENSDARG00000075053	zgc:174379	17	+
NM_001031674	ENSDARG00000007715	lgsn	11	-
NM_001025539	ENSDARG00000019861	fgl2	4	-
NM_152970	ENSDARG00000002213	invs	16	+
NM_001007775	ENSDARG00000006242	ptp4a1	11	+
NM_213484	ENSDARG00000025605	nvl	13	-
NM_130961	ENSDARG00000044059	lft2	17	-
NM_200146	ENSDARG00000008472	LOC797209	8	-
NM_200146	ENSDARG00000008472	apex2	8	-
NM_001114456	ENSDARG00000008472	LOC797209	8	-
NM_001114456	ENSDARG00000008472	apex2	8	-
NM_001077294	ENSDARG00000058666	dennd2da	8	-
NM_001037686	ENSDARG00000087671	ntn4	Zv9_NA880	-
NM_001003881	ENSDARG00000036570	snrpf	Zv9_NA880	+
NM_001130624	ENSDARG00000073699	zgc:194937	11	-
NM_001007066	ENSDARG00000031875	trpa1b	24	+
NM_001190464	ENSDARG00000090537	LOC100001239	12	-
NM_001197316	ENSDARG00000036985	plxnb2b	25	+
NM_001020736	ENSDARG00000058824	zgmrpl4	11	-
NM_205647	ENSDARG00000017337	zgc:77929	11	-
NM_200503	ENSDARG00000051902	prmt7	25	-
NM_207048	ENSDARG00000034763	ccnf	Zv9_NA470	-
NM_212941	ENSDARG00000030791	mafg2	11	+
NM_001114589	ENSDARG00000022614	ddx43	13	-
NM_200460	ENSDARG00000055575	pcolce2b	24	-
NM_200838	ENSDARG00000008979	golga1	8	-
NM_001020759	ENSDARG00000044400	wdr78	6	+
NM_001079988	ENSDARG00000070360	fam212aa	11	-
NM_001077733	ENSDARG00000060900	znf362	11	-
NM_213092	ENSDARG00000034961	bzw1b	9	-
NM_200071	ENSDARG00000009018	rhbg	16	-
NM_001111244	ENSDARG00000060357	zgc:171298	Zv9_NA992	-
NM_001039639	ENSDARG00000058574	abcg2c	13	-
NM_205547	ENSDARG00000018743	scamp5	25	-
NM_001029959	ENSDARG00000057027	rtn2b	21	+
NM_200948	ENSDARG00000016239	psmd13	25	+
NM_001083876	ENSDARG00000070315	si:dkey-10p5.7	6	+
NM_001045334	ENSDARG00000070097		7	+
NM_001199335	ENSDARG00000058045	tlr21	16	-
NM_001204154	ENSDARG00000036584	st8sia5	21	+
NM_213164	ENSDARG00000005560	ywhah	10	+
NM_001204155	ENSDARG00000036584	st8sia5	21	+
NM_001004663	ENSDARG00000041115	cnfn	16	-
NM_001177933	ENSDARG00000011830	fgd4a	18	+
NM_001113614	ENSDARG00000078159	zgc:175284	22	+
NM_001002116	ENSDARG00000055903	luc7l	24	+
NM_001002713	ENSDARG00000015997	mfsd5	23	-
NM_001017994	ENSDARG00000039365	cuedc2	13	+
NM_212617	ENSDARG00000042796	yy1a	17	-
NM_001020498	ENSDARG00000034568	fitm2	23	-
NM_001082950	ENSDARG00000068363	si:ch211-132b12.3	18	+
NM_001126427	ENSDARG00000059425	LOC569320	17	+
NM_001115140	ENSDARG00000026540	ppp4r2a	23	+
NM_001115114	ENSDARG00000043457	gapdh	16	-
NM_001040359	ENSDARG00000044976	zgc:136902	11	-
NM_001077454	ENSDARG00000044975	zgc:153629	11	-
NM_001130809	ENSDARG00000095431	or132-3	21	+
NM_001034181	ENSDARG00000058803	grk1a	1	+
NM_001012390	ENSDARG00000025943	crygs3	9	+
NM_001007331	ENSDARG00000013266	colec11	17	-
NM_001001818	ENSDARG00000018174	gnai2a	11	-
NM_001100061	ENSDARG00000093546	LOC798290	4	+
NM_001013549	ENSDARG00000032285	zgc:113294	15	+
NM_001098768	ENSDARG00000058082	birc7	23	+
NM_001025455	ENSDARG00000039456	acbd6	8	+
NM_001164241	ENSDARG00000078352	lyrm4	2	-
NM_001006007	ENSDARG00000042656	nrn1b	2	-
NM_001128718	ENSDARG00000076379	zgc:194590	16	+
NM_199628	ENSDARG00000002365	cers5	22	-
NM_213276	ENSDARG00000069591	zgc:85829	Zv9_NA991	+
NM_001033917	ENSDARG00000001882	kbtbd12	6	-
NM_001077377	ENSDARG00000004771	ankrd10b	9	+
NM_200542	ENSDARG00000077566	zgc:65873	Zv9_NA991	+
NM_201302	ENSDARG00000093866	sec22bb	8	+
NM_001144790	ENSDARG00000068122	si:ch211-215c18.4	5	-
NM_001005586	ENSDARG00000011929	plp1b	5	-
NM_213000	ENSDARG00000032493	chn1	9	-
NM_001014361	ENSDARG00000014004	eif2b4	20	-
NM_001039171	ENSDARG00000058543	lama5	23	-
NM_001011881	ENSDARG00000068024	nitr1j	7	-
NM_001098255	ENSDARG00000021241	zgc:165604	21	+
NM_198801	ENSDARG00000016598	ckmt1	25	+
NM_001001404	ENSDARG00000045132	vdac1	21	-
NM_001020521	ENSDARG00000069600	zgc:109889	7	+
NM_173219	ENSDARG00000034504	lmo1	7	-
NM_001114889	ENSDARG00000043877	mmachc	20	+
NM_001002359	ENSDARG00000075766	sccpdha	17	+
NM_199744	ENSDARG00000002970	ss18	2	-
NM_001020789	ENSDARG00000010700	il17d	9	-
NM_205702	ENSDARG00000056633	fgf13b	10	-
NM_200664	ENSDARG00000009930	cadm2a	10	-
NM_213396	ENSDARG00000023174	fez1	10	-
NM_001005596	ENSDARG00000014746	rbfox1	3	-
NM_001079995	ENSDARG00000075007	chst2a	2	+
NM_001161340	ENSDARG00000061249	myom1a	2	+
NM_001102641	ENSDARG00000044973	zgc:171226	11	+
NM_131844	ENSDARG00000015890	LOC100537332	18	+
NM_131844	ENSDARG00000015890	maf	18	+
NM_198911	ENSDARG00000020235	sept9a	3	-
NM_001109856	ENSDARG00000034403		10	-
NM_001045029	ENSDARG00000004502	rcor3	22	+
NM_001114409	ENSDARG00000075026		Zv9_NA916	-
NM_200949	ENSDARG00000002271	zfand5b	10	+
NM_001025164	ENSDARG00000024928	zgc:112265	Zv9_NA904	+
NM_199770	ENSDARG00000003383	asb8	23	-
NM_001006005	ENSDARG00000086768	dut	18	+
NM_001017637	ENSDARG00000030753	prrg4	18	+
NM_001163366	ENSDARG00000042544	degs2	17	+
NM_001077792	ENSDARG00000061737	ece1	11	-
NM_001017589	ENSDARG00000045691	zcrb1	4	-
NM_212878	ENSDARG00000016233	sdr16c5a	2	-
NM_001109826	ENSDARG00000044265	cdc37l1	10	+
NM_001080674	ENSDARG00000060901	LOC100537628	11	-
NM_001080674	ENSDARG00000060901	trim62	11	-
NM_199683	ENSDARG00000041607	eif4ebp3l	14	-
NM_001034968	ENSDARG00000044954	slit1a	13	-
NM_001128289	ENSDARG00000076923	si:dkey-159f12.3	8	-
NM_200677	ENSDARG00000045661	irf7	25	-
NM_173272	ENSDARG00000012763	arl13b	1	+
NM_001114743	ENSDARG00000086680	tec	Zv9_NA110	+
NM_131220	ENSDARG00000024844	max	20	-
NM_181758	ENSDARG00000026726	anxa1a	5	-
NM_001007314	ENSDARG00000041041	cxcr3.2	16	+
NM_001080200	ENSDARG00000006200	zgc:158450	2	-
NM_213011	ENSDARG00000013856	amy2a	2	+
NM_001082983	ENSDARG00000030914	tmem120a	10	+
NM_001128075	ENSDARG00000078139	appl2	25	-
NM_200842	ENSDARG00000010018	qki2	12	-
NM_197936	ENSDARG00000011091	drd2b	5	-
NM_001044975	ENSDARG00000005834	si:dkeyp-66g8.1	19	+
NM_213321	ENSDARG00000045257	decr2	24	+
NM_001013456	ENSDARG00000039346	ndufa5	4	-
NM_001006016	ENSDARG00000004270	atl3	14	+
NM_001017675	ENSDARG00000043016	zgc:112020	Zv9_NA384	-
NM_201338	ENSDARG00000044457	gfi1ab	6	-
NM_198071	ENSDARG00000034007	prom1b	1	-
NM_001003609	ENSDARG00000055566	mastl	24	+
NM_001045154	ENSDARG00000062521	atp9b	19	+
NM_001004562	ENSDARG00000007975	fth1b	25	+
NM_001020581	ENSDARG00000010073	rab3ip	Zv9_scaffold3562	+
NM_001089510	ENSDARG00000070165	tnfrsf1b	11	-
NM_130979	ENSDARG00000040955	dharma	15	-
NM_212707	ENSDARG00000000068	slc9a3r1	12	+
NM_200864	ENSDARG00000058305	mtmr3	8	-
NM_001039357	ENSDARG00000059367	mfap2	22	+
NM_131378	ENSDARG00000018418	pth1rb	12	-
NM_207080	ENSDARG00000078653	ralbp1	2	-
NM_001002448	ENSDARG00000013042	ing2	1	-
NM_131152	ENSDARG00000002240	psmb6	23	-
NM_001003424	ENSDARG00000032296	pomp	21	-
NM_001005305	ENSDARG00000019185	slain1a	9	+
NM_205684	ENSDARG00000040881	hnrnph1	14	+
NM_001080610	ENSDARG00000055949	olfcd2	Zv9_scaffold3499	+
NM_001002718	ENSDARG00000069184	ubtd2	21	+
NM_001144813	ENSDARG00000070669	si:dkey-269d20.3	16	+
NM_001114449	ENSDARG00000075719	wu:fd46c06	16	-
NM_001012497	ENSDARG00000015158	slc50a1	16	+
NM_001037575	ENSDARG00000017569	reep3l	17	-
NM_213522	ENSDARG00000002184	igbp1	5	+
NM_200681	ENSDARG00000013871	slc5a1	10	+
